solver,r,c,comp,time,sing_values
randomized,60000,700,14,1.5573218584060669,"[7836.900355013406, 7826.71503287599, 7811.637471667337, 7805.644198362285, 7796.594776094425, 7794.703628869494, 7790.6416885681265, 7787.351270397878, 7781.307142457067, 7775.8070105359875, 7764.810701974396, 7759.365240537825, 7755.926248806611, 7073.51097159426]"
full,40000,900,13,4.236832666397095,"[6625.617848465554, 6623.889505259186, 6614.131145610033, 6611.177411886739, 6605.051718871044, 6599.498592538519, 6592.721878461024, 6589.184770148335, 6587.696389136419, 6581.502342812342, 6577.574850096391, 6574.326614090645, 6564.114706203514]"
full,30000,700,14,2.1356029987335203,"[5754.469811026592, 5748.499081254933, 5741.580598171062, 5731.9834511944455, 5726.146005125865, 5722.215824286298, 5712.36268504283, 5704.592325430193, 5703.4201907793195, 5697.103975177491, 5692.367727470958, 5690.596249387927, 5686.608382675893, 4989.786263838556]"
full,20000,400,14,0.5277239561080933,"[4647.130491872219, 4632.074509830497, 4626.709408021868, 4621.148683996786, 4616.229465517636, 4611.946912199553, 4606.988004857468, 4099.879433857668, 0.45968759700141326, 0.45904026700474987, 0.45851832290911326, 0.45825250603806883, 0.4580916553154842, 0.4574108649341153]"
full,60000,900,16,6.177714991569519,"[7928.954019105997, 7915.976639332813, 7909.845008835673, 7902.885116274568, 7899.621557441417, 7896.491743120773, 7886.4978335336145, 7880.787208826296, 7879.159282568588, 7873.787303272056, 7872.380037798858, 7865.261766263686, 7862.370093570618, 7857.556241515681, 7854.92841090831, 7849.182404135611]"
randomized,40000,300,8,0.4116736412048339,"[6272.033780190422, 6255.831413580099, 6239.263767583079, 6237.4919816098345, 6228.951362406371, 5758.676727920885, 0.6092108369915082, 0.6073678678889234]"
randomized,60000,100,8,0.2513602256774902,"[7337.458108245669, 7099.024701922923, 0.7248789502381406, 0.7224257133162569, 0.7201558520981717, 0.7191274079918818, 0.718218710608672, 0.7171203750372762]"
full,80000,200,6,1.2024498462677002,"[8556.959564117287, 8546.090816549075, 8533.302300275887, 8153.314415897172, 0.8528537823260768, 0.8520945559428085]"
randomized,50000,800,16,1.3804716348648072,"[7262.907200866172, 7249.00811368505, 7236.840715427935, 7235.245987943122, 7233.9776656844115, 7224.430002211217, 7217.31594308821, 7215.210382586321, 7212.69171520118, 7209.525351045786, 7203.301983597415, 7198.689892810975, 7197.03616303115, 7193.982040868206, 7187.501121125609, 6437.73843645401]"
full,50000,300,4,1.050026249885559,"[6964.436979565709, 6932.833201987828, 6924.519416377996, 6916.025967469433]"
randomized,10000,1000,13,0.3358332633972168,"[3791.5714860062967, 3782.313161632102, 3777.386631330084, 3770.2987988507734, 3765.279990495099, 3759.37975038414, 3752.8938867305765, 3749.041232577027, 3747.235481560226, 3741.3663361898552, 3737.6107121302116, 3726.942298266505, 3726.3384970487905]"
randomized,30000,800,1,0.5647930860519409,[5796.220941734766]
full,30000,300,9,0.5661603212356567,"[5500.3878851987065, 5481.134974697204, 5473.435163215385, 5465.929456408415, 5456.713415888507, 4991.3744581576875, 0.5452411114436598, 0.544145723997291, 0.5433491963080082]"
randomized,30000,200,14,0.2389051437377929,"[5397.578042955301, 5393.951531217722, 5371.863598120237, 5016.602031921609, 0.5266771148248854, 0.5252725825973575, 0.5243454006357116, 0.522453943464083, 0.5215378318614038, 0.5201247592923064, 0.5192955186225844, 0.5189638535846512, 0.5179164345130917, 0.5172874480492483]"
randomized,10000,1000,20,0.363245153427124,"[3791.5714860063003, 3782.3131616321093, 3777.3866313300855, 3770.29879885077, 3765.279990495105, 3759.37975038414, 3752.8938867305787, 3749.041232577025, 3747.235481560223, 3741.3663361898543, 3737.6107121302107, 3726.942298266506, 3726.338497048795, 3721.400780547927, 3720.680835142678, 3717.207225387501, 3714.793429240642, 3709.6625725895287, 3702.7862596176897, 2877.6834511662873]"
full,50000,1000,6,6.70895369052887,"[7369.3111787436665, 7347.510291245424, 7345.360604151291, 7342.854177021499, 7336.617665627889, 7334.135696500487]"
randomized,30000,200,11,0.2268828392028808,"[5397.5780429553, 5393.951531217723, 5371.863598120238, 5016.602031921607, 0.526701271055873, 0.5261144518561095, 0.5240200412540084, 0.5226939151099012, 0.520696316578522, 0.5197395496071766, 0.5193165695048569]"
full,30000,100,7,0.1828484058380127,"[5272.332492355377, 5019.635962507879, 0.5264496582982748, 0.5255044742324867, 0.5245677586573254, 0.5238907001606768, 0.5223207111139954]"
randomized,10000,300,15,0.1282866716384887,"[3372.9398019143064, 3361.448838191559, 3347.1528138341755, 3336.2594491589816, 3331.1593666188, 2907.9995758127607, 0.3276005132289391, 0.32698583202436066, 0.3248389272214124, 0.32307567432843204, 0.32251955964132756, 0.32208194584640504, 0.32167545080547294, 0.3210737750780845, 0.3202703313519826]"
full,100000,700,12,7.734717679023743,"[9891.363070341362, 9879.409370193383, 9867.582203652339, 9862.12843223244, 9856.584389240159, 9852.458877433735, 9847.750017350214, 9841.381962449173, 9834.920068015359, 9828.243378806028, 9824.512374156351, 9820.530353915517]"
full,10000,300,20,0.1580978870391845,"[3372.939801914309, 3361.448838191562, 3347.1528138341773, 3336.2594491589857, 3331.1593666187987, 2907.999575812757, 0.33271874759646036, 0.3324082077399032, 0.33201132034138625, 0.3316889867513316, 0.33130822494551626, 0.33072117100370046, 0.3303006258393796, 0.32956538189129364, 0.3289923623972201, 0.3285967014034795, 0.32792866024324757, 0.3277043123576052, 0.32710834514760045, 0.32675648614397823]"
randomized,40000,100,9,0.1703800916671753,"[6039.098020753729, 5789.875982697654, 0.5947712257178948, 0.5909403004861776, 0.5907320772164012, 0.5898157307586971, 0.5879806590673365, 0.5873453767765593, 0.5864751494669743]"
randomized,40000,100,16,0.2117594718933105,"[6039.0980207537295, 5789.875982697654, 0.5960333682448253, 0.5955019402452978, 0.5948441476190724, 0.5943923398820077, 0.5914647954326303, 0.5905407910244845, 0.5899838107986163, 0.5892731697311061, 0.5872795932721502, 0.5864832006685817, 0.5859676553684149, 0.5851388039910183, 0.5836021955423893, 0.5824419118834759]"
full,20000,400,10,0.5291987657546997,"[4647.130491872219, 4632.074509830497, 4626.709408021868, 4621.148683996786, 4616.229465517636, 4611.946912199553, 4606.988004857468, 4099.879433857668, 0.45968759700141326, 0.45904026700474987]"
randomized,60000,800,4,1.187726616859436,"[7867.844850106799, 7858.876824401792, 7854.371270010245, 7853.549799081344]"
full,50000,700,16,3.6134195566177367,"[7225.146784089902, 7200.124670915714, 7195.245158238565, 7186.968824517922, 7185.450533596502, 7175.690896139022, 7167.513329754211, 7163.117814157026, 7159.150422233934, 7155.379036377891, 7151.368974508321, 7147.929675500767, 7144.2934556797045, 6459.240421237952, 0.7135205346004061, 0.7134476148379351]"
randomized,30000,800,10,0.6955051898956299,"[5806.536530433919, 5794.366244820121, 5787.119302686781, 5783.280955942356, 5777.557258767927, 5770.651105593492, 5768.634797790998, 5760.57485414806, 5752.5173108007875, 5749.388544971536]"
randomized,40000,200,3,0.2447267532348633,"[6163.904449433379, 6159.075239921203, 6154.846927805201]"
randomized,50000,600,6,0.8097332954406739,"[7151.404476913128, 7141.445411063053, 7135.7770089786145, 7128.310213002655, 7122.964199522348, 7115.6012535819555]"
randomized,20000,900,2,0.4612255096435547,"[4931.059343356321, 4925.610089906437]"
